date;unit;consumption;time
28.3.2019;fridge;36,3W;04:40
28.3.2019;fridge;34,5W;04:45
28.3.2019;fridge;34,7W;04:50
28.3.2019;fridge;34,2W;04:55
28.3.2019;fridge;34,2W;05:00
28.3.2019;fridge;33,7W;05:05
28.3.2019;fridge;34,6W;05:10
28.3.2019;fridge;1,9W;05:15
28.3.2019;fridge;1,9W;05:20
28.3.2019;fridge;1,9W;05:25
28.3.2019;fridge;35,2W;05:30
28.3.2019;fridge;36,0W;05:35
28.3.2019;fridge;37,1W;05:40
28.3.2019;fridge;37,1W;05:45
28.3.2019;fridge;34,6W;05:50
28.3.2019;fridge;34,3W;05:55
28.3.2019;fridge;34,1W;06:00
28.3.2019;fridge;34,1W;06:05
28.3.2019;fridge;34,0W;06:10
28.3.2019;fridge;33,5W;06:15
28.3.2019;fridge;32,9W;06:20
28.3.2019;fridge;2,4W;06:25
28.3.2019;fridge;2,4W;06:30
28.3.2019;fridge;29,7W;06:35
28.3.2019;fridge;34,8W;06:40
28.3.2019;fridge;36,3W;06:45
28.3.2019;fridge;37,1W;06:50
28.3.2019;fridge;36,0W;06:55
28.3.2019;fridge;34,3W;07:00
28.3.2019;fridge;35,0W;07:05
28.3.2019;fridge;33,9W;07:10
28.3.2019;fridge;33,9W;07:15
28.3.2019;fridge;33,9W;07:20
28.3.2019;fridge;33,9W;07:25
28.3.2019;fridge;2,2W;07:30
28.3.2019;fridge;2,2W;07:35
28.3.2019;fridge;1,6W;07:40
28.3.2019;fridge;35,1W;07:45
28.3.2019;fridge;35,8W;07:50
28.3.2019;fridge;35,3W;07:55
28.3.2019;fridge;34,7W;08:00
28.3.2019;fridge;34,4W;08:05
28.3.2019;fridge;34,4W;08:10
28.3.2019;fridge;33,8W;08:15
28.3.2019;fridge;33,6W;08:20
28.3.2019;fridge;1,5W;08:25
28.3.2019;fridge;1,5W;08:30
28.3.2019;fridge;1,5W;08:35
28.3.2019;fridge;1,5W;08:40
28.3.2019;fridge;30,7W;08:45
28.3.2019;fridge;34,8W;08:50
28.3.2019;fridge;36,6W;08:55
28.3.2019;fridge;36,6W;09:00
28.3.2019;fridge;36,5W;09:05
28.3.2019;fridge;34,8W;09:10
28.3.2019;fridge;34,7W;09:15
28.3.2019;fridge;33,9W;09:20
28.3.2019;fridge;62,9W;09:25
28.3.2019;fridge;62,9W;09:30
28.3.2019;fridge;2,9W;09:35
28.3.2019;fridge;155,4W;09:40
28.3.2019;fridge;155,4W;09:45
28.3.2019;fridge;153,6W;09:50
28.3.2019;fridge;153,6W;09:55
